Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000256016,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,3906,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,2,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.536e-01,26,40,20,32,2.72,2.96,1.6,2.4
-1.533e-01,20,4.47035e-08,12,-2,2.64,2.16,1.6,0.8
-1.531e-01,8,22,4,16,2.48,2.64,1.6,2
-1.528e-01,4.47035e-08,-16,-2,-16,2.24,1.76,1.2,0.8
-1.525e-01,-6,6,-8,2,2.08,2.4,1.2,2
-1.523e-01,-12,-30,-16,-30,1.84,1.36,1.2,0.4
-1.520e-01,-20,-8,-22,-12,1.68,2,0.8,1.6
-1.518e-01,-28,-48,-30,-46,1.44,0.88,0.8,1.78814e-08
-1.515e-01,-38,-24,-36,-26,1.2,1.52,0.8,1.2
-1.513e-01,-44,-62,-44,-60,0.96,0.4,0.4,-0.4
-1.510e-01,-52,-40,-52,-42,0.72,1.04,0.4,1.2
-1.507e-01,-58,-74,-60,-72,0.4,-0.16,1.78814e-08,-0.8
-1.505e-01,-66,-56,-64,-54,0.16,0.56,1.78814e-08,0.4
-1.502e-01,-72,-88,-70,-82,-0.08,-0.64,-0.4,-1.2
-1.500e-01,-82,-68,-76,-68,-0.32,3.57628e-09,-0.4,0.4
-1.497e-01,-86,-96,-80,-90,-0.56,-1.12,-0.8,-1.2
-1.495e-01,-88,-80,-84,-78,-0.72,-0.48,-0.8,1.78814e-08
-1.492e-01,-92,-102,-88,-96,-1.04,-1.6,-0.8,-1.6
-1.490e-01,-94,-88,-92,-86,-1.28,-0.96,-0.8,-0.4
-1.487e-01,-100,-108,-94,-100,-1.52,-2,-1.2,-2
-1.484e-01,-104,-96,-96,-92,-1.68,-1.36,-1.2,-0.8
-1.482e-01,-106,-110,-98,-102,-1.92,-2.4,-1.6,-2
-1.479e-01,-106,-102,-100,-96,-2.08,-1.84,-1.6,-1.2
-1.477e-01,-108,-110,-100,-102,-2.32,-2.64,-1.6,-2.4
-1.474e-01,-106,-100,-98,-94,-2.4,-2.24,-2,-1.2
-1.472e-01,-104,-106,-96,-98,-2.56,-2.88,-2,-2.4
