Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.02,,,,,,,
Sample Interval,3.84025e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5208,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,10,,20,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.028e-02,-102,-98,-95,-93,-1.2,-0.8,-1.2,-0.4
-9.025e-02,-102,-106,-95,-99,-1.6,-2,-1.2,-2
-9.021e-02,-102,-98,-97,-93,-1.6,-1.2,-1.2,-0.4
-9.017e-02,-104,-108,-97,-99,-1.6,-2,-1.2,-2
-9.013e-02,-104,-100,-97,-93,-1.6,-1.2,-1.2,-0.4
-9.009e-02,-106,-108,-97,-99,-1.6,-2,-1.2,-2.8
-9.005e-02,-106,-100,-97,-95,-1.6,-1.2,-1.2,-0.4
-9.002e-02,-106,-110,-99,-101,-1.6,-2,-1.2,-2
-8.998e-02,-106,-102,-99,-95,-1.6,-1.2,-1.2,-0.4
-8.994e-02,-106,-110,-97,-101,-1.6,-2.4,-1.2,-2
-8.990e-02,-106,-102,-99,-97,-1.6,-1.2,-1.2,-0.4
-8.986e-02,-106,-110,-99,-101,-2,-2.4,-1.2,-2
-8.982e-02,-106,-102,-99,-97,-2,-1.6,-2,-0.4
-8.978e-02,-106,-110,-99,-101,-2,-2.4,-1.2,-2
-8.975e-02,-108,-102,-101,-97,-1.6,-1.6,-2,-0.4
-8.971e-02,-108,-112,-101,-103,-2,-2.4,-2,-2.8
-8.967e-02,-106,-104,-101,-97,-2,-1.6,-2,-0.4
-8.963e-02,-108,-112,-101,-103,-1.6,-2.4,-2,-2.8
-8.959e-02,-106,-104,-101,-97,-2,-1.6,-2,-0.4
-8.955e-02,-108,-110,-99,-103,-2,-2.4,-2,-2.8
-8.952e-02,-108,-104,-101,-97,-2,-1.6,-1.2,-0.4
