Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000192012,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.646e-01,-2,2,-13,-5,-7.15256e-08,0.8,-1.4,-1
-1.644e-01,-4,-6,-7,-9,-7.15256e-08,-1.6,-1.4,-1.8
-1.643e-01,-2,2,-3,3,-7.15256e-08,0.8,-1.4,-0.6
-1.641e-01,-2,-8,3,-1,-7.15256e-08,-1.6,-1,-1.8
-1.639e-01,-4,2,5,11,-0.8,0.8,-0.6,-0.2
-1.637e-01,-2,-6,11,7,-7.15256e-08,-0.8,-1,-1.4
-1.635e-01,-2,2,15,21,0.8,1.6,-0.6,-0.2
-1.633e-01,-2,-6,19,17,-7.15256e-08,-0.8,-0.2,-1
-1.631e-01,-4,2,25,33,0.8,1.6,-0.2,0.2
-1.629e-01,-4,-6,31,29,0.8,-7.15256e-08,0.2,-0.6
-1.627e-01,-4,2,35,43,0.8,2.4,0.2,1
-1.625e-01,-2,-6,41,39,1.6,-7.15256e-08,0.6,-0.2
-1.623e-01,-4,2,45,51,1.6,2.4,0.6,1.4
-1.621e-01,-2,-6,49,47,1.6,0.8,1,0.2
-1.619e-01,-2,2,55,61,1.6,3.2,1,1.8
-1.618e-01,-2,-6,59,57,2.4,0.8,1.4,0.6
-1.616e-01,-2,2,63,69,2.4,3.2,1.4,2.2
-1.614e-01,-4,-6,67,65,2.4,1.6,1.8,1.4
-1.612e-01,-2,2,71,75,2.4,4,1.8,2.2
-1.610e-01,-4,-6,73,71,2.4,1.6,1.8,1.4
-1.608e-01,-2,2,77,81,2.4,4,2.2,2.6
-1.606e-01,-2,-6,79,77,3.2,1.6,2.2,1.8
-1.604e-01,-4,2,81,85,3.2,4,2.6,3
-1.602e-01,-2,-6,83,81,3.2,2.4,2.6,2.2
-1.600e-01,-4,2,85,89,4,4,2.6,3.4
-1.598e-01,-2,-6,85,85,3.2,2.4,3,2.2
-1.596e-01,-2,2,87,91,4,4.8,3,3.4
-1.595e-01,-2,-6,89,85,4,2.4,3,2.6
-1.593e-01,-2,2,89,91,4,4.8,3.4,3.8
-1.591e-01,-2,-6,87,85,4,2.4,3,2.6
-1.589e-01,-4,2,87,91,4,4.8,3.4,3.8
